_url,birth_year,weight,height,nationality
jesus-rodriguez-carballido,1962.0,74.35794555519617,179.93358677953208,Spain
johan-de-lathouwer,1960.0,69.07556479761607,182.7338841531821,Belgium
jean-claude-garde,1960.0,70.87144359601484,181.7036487938717,France
igor-pugaci,1975.0,67.0,178.0,Moldova
daniele-de-paoli,1973.0,67.99888136414394,176.74952669502633,Italy
jose-alberto-martinez,1975.0,67.0,176.0,Spain
tomas-konecny,1973.0,67.0,178.0,Czech Republic
massimo-codol,1973.0,67.0,178.0,Italy
bruno-huger,1962.0,71.48795306216108,185.49206800481116,France
steve-bovay,1984.0,69.25887267011187,186.0500477730036,Switzerland
olaf-ludwig,1960.0,66.45369649569798,183.45912041550733,Germany
pedro-luis-diaz-zabala,1962.0,72.95929050911508,180.6950531009305,Spain
stephen-roche,1959.0,74.0,175.0,Ireland
hugues-grondin,1959.0,74.17205829024101,177.88845720489255,France
sergio-andres-de-lis,1986.0,71.0,186.0,Spain
alfonso-gutierrez,1961.0,67.19673786432617,183.86844110173905,Spain
edwin-bafcop,1962.0,71.75716148104408,185.21124932378552,Belgium
frederic-guedon,1962.0,73.05121933627252,180.5123166805136,France
joel-pelier,1962.0,72.8040452331091,180.79803439067828,France
stephane-auge,1974.0,65.0,174.0,France
cameron-wurf,1983.0,71.0,171.0,Australia
franck-bouyer,1974.0,65.0,173.0,France
bram-de-groot,1974.0,65.0,173.0,Netherlands
jorgen-vagn-pedersen,1959.0,74.35067504201547,175.4868426844666,Denmark
carlos-mario-jaramillo,1961.0,70.94378223650295,186.7558847809761,Colombia
oleg-chuzhda,1985.0,72.88563157559393,186.57410433265323,Ukraine
allan-peiper,1960.0,73.11589566846334,184.20895240220636,Australia
luis-sarreira,1972.0,67.93235147271398,177.3416731887543,Portugal
luis-domingos,1961.0,73.86229524536213,178.80044762681115,Portugal
jos-op-t-eyndt,1960.0,73.83101572585508,177.78298101500027,Belgium
thierry-bourguignon,1962.0,72.0,185.0,France
